phase,source_url,destination_url,link_type,anchor_text,http_status,evidence,recommended_action
baseline,https://robertdevore.com/going-all-in-one-year-later/,https://www.deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/going-all-in-one-year-later/,https://deviodigital.com/product/delivery-drivers-for-woocommerce-pro/,external,Delivery Drivers for WooCommerce Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/going-all-in-one-year-later/,https://t.co/r5oZlgxPCX/,external,pic.twitter.com/r5oZlgxPCX,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://robertdevore.com/projects/benchpress/,internal,BenchPress,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://robertdevore.com/projects/db-version-control/,internal,DB Version Control,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://robertdevore.com/projects/projects-for-wordpress/,internal,help devs self-host their plugins,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://robertdevore.com/tag/extreme-leadership/,internal,extreme leadership,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://notmatt.press/,external,auto-forked WordPress®,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://devio.chat/,external,Devio Chat,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
